BNF	Sample	Subsample	"31P"	"39K"	"51V"	"56Fe"	"98Mo"	Plot	Habitat
15.88203145	380-2	2	1.338101761	-0.056350489	0.001393444	0.500058708	2.96477E-05	380	"Forest Tundra"
4.093084021	380-3	3	46.65	0.151	0.017	2.835	0.001	380	"Forest Tundra"
42.34177071	379-1	1	1.262804217	-0.050013253	0.000781837	0.243221386	3.34639E-05	379	"Forest Tundra"
27.7110126	379-2	2	2.009807339	-0.103223853	0.000880275	0.236593272	4.63303E-05	379	"Forest Tundra"
23.58155023	379-3	3	0.966192771	-0.041190964	0.00053238	0.139453012	2.43373E-05	379	"Forest Tundra"
8.240318583	375-1	1	0.25793039	-0.013641558	0.000204623	0.063092208	1.04935E-05	375	"Forest Tundra"
4.54979103	375-2	2	0.684231214	-0.026391358	0.000294827	0.107801445	1.16763E-05	375	"Forest Tundra"
11.60404581	375-3	3	0.189603207	-0.008501079	0.000212012	1.426072886	5.00583E-05	375	"Forest Tundra"
4.610128139	370-1	1	0.778817156	-0.030026411	0.000294108	0.109960045	9.11964E-06	370	"Forest Tundra"
5.509381047	370-2	2	0.486223092	-0.021049902	0.000264853	0.10926184	3.95303E-06	370	"Forest Tundra"
2.977664542	370-3	3	0.309981567	-0.012659908	0.000151267	0.053688249	2.32719E-06	370	"Forest Tundra"
